date,site,treatment,forest_type,inv_lvl,plot,totalO_thk,Oi_thk,Oe_thk,Oa_thk,A_thk,A_type,source,sample_number,bulk_density,notes
11/2/2019,C2A,C2,C,2,R1,6.0,3,3,0.0,11.0,A,pit,NA,NA,
11/2/2019,C2A,C2,C,2,R2,6.0,6,NA,,12.0,A,pit,NA,NA,A + AC
11/2/2019,C2A,C2,C,2,R3,6.0,6,NA,,6.0,A,pit,NA,NA,
11/2/2019,C2A,C2,C,2,NA,5.0,NA,NA,,,,bd,NA,NA,
11/2/2019,C2A,C2,C,2,NA,5.5,NA,NA,,,,bd,NA,NA,
11/2/2019,C2A,C2,C,2,NA,6.0,NA,NA,,,,bd,NA,NA,
11/3/2019,C2A,C2,C,2,NA,6.0,6,NA,,13.0,A,oad,NA,NA,
11/3/2019,C2A,C2,C,2,NA,6.0,6,NA,,10.0,A,oad,NA,NA,
11/3/2019,C2A,C2,C,2,NA,5.0,5,NA,,13.0,A,oad,NA,NA,A is well-aggregated
11/4/2019,C2B,C2,C,2,R1,10.0,4,3,3.0,6.0,AC,pit,NA,NA,
11/4/2019,C2B,C2,C,2,R2,8.0,5,,3.0,0.0,,pit,NA,NA,C/A
11/4/2019,C2B,C2,C,2,R3,8.0,4,,4.0,7.0,AC,pit,NA,NA,A/C
11/4/2019,C2B,C2,C,2,NA,10.0,5,2,3.0,0.0,,oad,NA,NA,
11/4/2019,C2B,C2,C,2,NA,9.0,5,,4.0,6.0,AC,oad,NA,NA,
10/4/2019,C2B,C2,C,2,NA,9.0,8,,1.0,2.0,A,oac,NA,NA,Possible Oa/A 8-9cm
10/4/2019,C2B,C2,C,2,NA,7.0,5,2,,0.0,,oac,NA,NA,Oe could be Oa/A
10/29/2019,C5A,C5,C,5,R1,0.0,NA,,,28.0,A,pit,NA,NA,A + AC
10/29/2019,C5A,C5,C,5,R2,1.0,1,,,21.0,A,pit,NA,NA,litter
10/29/2019,C5A,C5,C,5,R3,0.0,0,,,30.0,A,pit,NA,NA,maybe 1cm litter
10/29/2019,C5A,C5,C,5,NA,0.0,NA,,,30.0,A,oad,NA,NA,
10/29/2019,C5A,C5,C,5,NA,0.0,NA,,,30.0,A,oad,NA,NA,
10/29/2019,C5A,C5,C,5,NA,0.0,NA,,,30.0,A,oad,NA,NA,
9/22/2019,C5B,C5,C,5,R1,5.0,NA,,,9.0,A,pit,NA,NA,
9/22/2019,C5B,C5,C,5,R2,2.0,2,,,13.0,A,pit,NA,NA,
10/28/2019,C5B,C5,C,5,NA,2.0,2,,,20.0,A,oad,NA,NA,A + AC
10/28/2019,C5B,C5,C,5,NA,2.0,2,,,14.0,A,oad,NA,NA,
10/28/2019,C5B,C5,C,5,NA,1.0,1,,,19.0,A,oad,NA,NA,A + AC
10/28/2019,C5B,C5,C,5,NA,4.0,4,,,12.0,A,oad,NA,NA,Posssible Oi/A 4-8
10/28/2019,C5B,C5,C,5,NA,3.0,3,,,21.0,A,oad,NA,NA,
11/4/2019,D2A,D2,D,2,R1,7.0,7,,,0.0,,pit,NA,NA,
11/4/2019,D2A,D2,D,2,R2,6.0,4,,2.0,0.0,,pit,NA,NA,C/A
11/4/2019,D2A,D2,D,2,R3,4.0,NA,,,16.0,AC,pit,NA,NA,
11/4/2019,D2A,D2,D,2,NA,10.0,10,,,3.0,A,oad,NA,NA,
11/4/2019,D2A,D2,D,2,NA,4.0,4,,,,,oad,NA,NA,
11/4/2019,D2A,D2,D,2,NA,4.0,2,,2.0,1.5,A,oad,NA,NA,
11/4/2019,D2A,D2,D,2,NA,6.0,4,,2.0,2.0,A,oad,NA,NA,charcoal b/t Oa and A
11/4/2019,D2A,D2,D,2,NA,6.0,4,,2.0,2.0,A,oad,NA,NA,
11/4/2019,D2B,D2,D,2,R1,4.0,NA,2,2.0,3.0,AC,pit,NA,NA,
11/4/2019,D2B,D2,D,2,R2,5.0,NA,,,4.0,AC,pit,NA,NA,
11/4/2019,D2B,D2,D,2,R3,6.0,3,3,,3.0,AC,pit,NA,NA,A/C
11/4/2019,D2B,D2,D,2,NA,5.0,3,2,,7.0,AC,oad,NA,NA,
11/4/2019,D2B,D2,D,2,NA,9.0,5,,,8.0,AC,oad,NA,NA,
11/4/2019,D2B,D2,D,2,NA,5.0,2,2,1.0,3.0,A,oad,NA,NA,
11/4/2019,D2B,D2,D,2,NA,4.0,3,1,,1.0,A,oad,NA,NA,
11/4/2019,D2B,D2,D,2,NA,6.0,3,3,,1.0,AC,oad,NA,NA,A/C
11/3/2019,D5A,D5,D,5,R1,0.0,0,0,0.0,13.0,A,pit,NA,NA,A thk originally 11-15 wavy
11/3/2019,D5A,D5,D,5,R2,0.0,0,0,0.0,12.0,A,pit,NA,NA,
11/3/2019,D5A,D5,D,5,R3,1.0,1,,,14.0,AC,pit,NA,NA,notes say A/C?
11/3/2019,D5A,D5,D,5,NA,0.5,0.5,,,12.5,A,oad,NA,NA,notes say A/C?
11/4/2019,D5A,D5,D,5,NA,0.5,0.5,,,14.5,A,oad,NA,NA,notes say A/C?
11/4/2019,D5A,D5,D,5,NA,0.0,0,,,16.0,A,oad,NA,NA,
11/3/2019,D5B,D5,D,5,R1,0.0,NA,,,7.0,A,pit,NA,NA,
11/3/2019,D5B,D5,D,5,R2,0.0,0,,,10.0,A,pit,NA,NA,A/E? 10-16 wavy
11/3/2019,D5B,D5,D,5,R3,2.5,NA,,,8.5,AC,pit,NA,NA,notes say A/C?
11/3/2019,D5B,D5,D,5,NA,2.0,2,,,4.0,A,oad,NA,NA,
11/3/2019,D5B,D5,D,5,NA,0.0,NA,,,9.0,A,oad,NA,NA,A 8-10cm wavy
11/3/2019,D5B,D5,D,5,NA,0.0,NA,,,9.0,A,oad,NA,NA,*duplicate?
11/3/2019,D5B,D5,D,5,NA,3.0,NA,3,,6.0,AC,oad,NA,NA,notes say A/C?
