sample_number,season,site,treatment,rep,horizon,depth,sample_type,core_loss,sample_dim,notes,forest_floor,fiber,color,pH,bd,texture,LOI
1,2019,C2A,C2,R1,O,0-5,BD,,20 x 20 x 5,,,,,,0.12,,26.25
2,2019,C2A,C2,R1,O,0-5.5,BD,,20 x 20 x 5.5,,,,,,0.25,,28.79
3,2019,C2A,C2,R1,O,0-6,BD,,20 x 20 x 6,,,,1,1,0.15,1,31.31
4,2019,C2A,C2,R1,A (hump),20-Aug,Grab,,,,,,1,1,,sandy loam,
5,2019,C2A,C2,R1,E (trough),17-43,Grab,,,"E, Bw or C?",,,1,1,,sandy loam,
6,2019,C2A,C2,R1,Bts,43-65+,Grab,,,Unlikely a real Bts horizon. Maybe Bt?,,,1,1,,sandy clay loam,
7,2019,C2A,C2,R1,A (hump),15-Oct,BD brass,,,horizontal core.,,,,,1.06,,2.23
8,2019,C2A,C2,R2,A (hump),12-Jul,BD brass,2,,horizontal core.,,,,,1.01,,3.6
9,2019,C2A,C2,R2,C or E?,15-20,BD brass,2.5,,horizontal core.,,,,,1.35,,
10,2019,C2A,C2,R3,C,19-24,BD brass,2,,horizontal core.,,,,,0.93,,
11,2019,C2A,C2,R3,A,13-Aug,BD brass,3,,horizontal core.,,,,,0.79,,3.26
12,2019,C2A,C2,,AC,12-Jul,BD brass,,,horizontal core.,,,,,1,,
13,2019,D5A,D5,R1,A,0-11,Grab,,,,,,1,1,,sandy loam,
14,2019,D5A,D5,R1,C1,15-27,Grab,,,,,,1,1,,sandy loam,
15,2019,D5A,D5,R1,C2,27-53,Grab,,,,,,1,1,,sandy loam,
16,2019,D5A,D5,R1,C3,53-65+,Grab,,,,,,1,1,,loam,
17,2019,D5A,D5,R1,A,16-Nov,BD brass,1,,horizontal core.,,,,,0.9,,4.21
18,2019,D5A,D5,R1,A,12-Jul,BD brass,1,,horizontal core.,,,,,0.89,,3.76
19,2019,D5A,D5,R1,C,32-37,BD brass ,,,horizontal core.,,,,,1.36,,
20,2019,D5A,D5,R2,A,9-Apr,BD brass,2.5,,horizontal core.,,,,,0.93,,6.23
21,2019,D5A,D5,R2,C,17-22,BD brass,2.5,,horizontal core.,,,,,1.43,,
22,2019,D5A,D5,R3,C,22-27,BD brass,2,,horizontal core.,,,,,1.27,,
23,2019,D5A,D5,R3,A,7-Feb,BD brass,3.5,,horizontal core.,,,,,0.56,,7.83
24,2019,D5B,D5,R3,A/C,10-May,BD brass,,,horizontal core.,,,,,1,,1.62
25,2019,D5A,D5,R3,A/C,15-Sep,BD brass,2,,horizontal core.,,,,,1.13,,2.69
26,2019,D5B,D5,,O,0-1,Grab,,20 x 20 x 1,,,,,,,,
27,2019,D5B,D5,,O,0-2,Grab,,12 x 18 x 2,,,,,,,,
28,2019,D5B,D5,R1,A,0-7,Grab,,,,,,1,1,,sandy loam,
29,2019,D5B,D5,R1,A,14-Sep,BD brass ,,,horizontal core.,,,,,0.99,,3.3
30,2019,D5B,D5,,O / A,10-May,BD brass,1,,horizontal core.,,,,,0.93,,3.27
31,2019,D5B,D5,R1,C1,27-Jul,Grab,,,,,,1,1,,loamy sand,
32,2019,D5B,D5,R1,C2,27-40,Grab,,,,,,1,1,,loamy sand,
33,2019,D5B,D5,R1,C3,40-75,Grab,,,,,,1,1,,loamy sand,
34,2019,D5B,D5,R1,C,24-29,BD brass,,,,,,,,1.41,,
35,2019,D5B,D5,R3,C,,BD brass,2.5,,,,,,,1.08,,
36,2019,D5B,D5,,C,16-Nov,BD brass,3,,,,,,,1.4,,
37,2019,D2A,D2,R1,Oi / C,11-Jul,Grab,,,Oi/C with C circled,,,1,1,,sandy loam,
38,2019,D2A,D2,R1,E,20-Nov,Grab,,,"Could be E, Bw or C",,,1,1,,sandy loam,
39,2019,D2A,D2,R1,Bw,20-44,Grab,,,,,,1,1,,sandy loam,
40,2019,D2A,D2,R1,C1,44-60,Grab,,,,,,1,1,,sandy loam,
41,2019,D2A,D2,R1,C2,60-70+,Grab,,,,,,1,1,,sandy loam,
42,2019,D2A,D2,,O,0-4,BD,,20x20x4,Some mineral materal on the bottom. Corner broken.,,,,,0.36,,21.46
43,2019,D2A,D2,,O,0-6,BD,,20x20x6,Some mineral materal on the bottom,,,,,0.34,,17.72
44,2019,D2A,D2,,O,0-6,BD,,20x20x6,Some mineral materal on the bottom,,,,,0.25,,25.97
45,2019,D2A,D2,,O,13,O chunk,,16x18x13,O chunk for observation.,,,,,,,
46,2019,D2A,D2,,O,,O chunk,,,O chunk for observation. Careful handling. ,,,,,,,
47,2019,D2A,D2,R1,min,22-27,BD brass,,,horizontal core.,,,,,1.38,,
48,2019,D2A,D2,R1,min,41-46,BD brass,1,,horizontal core.,,,,,error,,
49,2019,D2A,D2,R2,min,20-25,BD brass,,,horizontal core.,,,,,0.89,,
